,text,ipa,syllables,audio_files,stress,audio_urls
1609,صيدلية,sˤɑj.dˤɑˈlij.je,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-صيدلية.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D8%A9.wav
2008,فلسطيني,fɑ.lɑsˤˈtˤiː.ni,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-فلسطيني.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A.wav
2201,كنباية,ka.naˈbæː.je,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-كنباية.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%83%D9%86%D8%A8%D8%A7%D9%8A%D8%A9.wav
1826,على فكرة,ˈʕa.laˈfɪk.rˤɑ,4,LL-Q55633582 (ajp)-AdrianAbdulBaha-ع فكرة.wav,1,LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%B9_%D9%81%D9%83%D8%B1%D8%A9.wav
2382,مروحية,mar.waˈħij.je,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-مروحيّة.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%85%D8%B1%D9%88%D8%AD%D9%8A%D9%91%D8%A9.wav
2464,مغربية,maɣ.rɪˈbij.je,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-مغربيّة.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%D9%91%D8%A9.wav
575,بنفسجي,baˈnaf.sa.ʒi,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بنفسجي.wav,2,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D9%86%D9%81%D8%B3%D8%AC%D9%8A.wav
123,أقلية,ʔɑ.qɑlˈlij.je,4,LL-Q55633582 (ajp)-Khalil.rantissi-أقَليّة.wav,3,LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A3%D9%82%D9%8E%D9%84%D9%8A%D9%91%D8%A9.wav
557,بما إنه,bi.maˈʔɪn.no,4,LL-Q55633582 (ajp)-Khalil.rantissi-بما انّه.wav,3,LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A8%D9%85%D8%A7_%D8%A7%D9%86%D9%91%D9%87.wav
1001,حنفية,ħa.naˈfij.je,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-حنفيّة.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AD%D9%86%D9%81%D9%8A%D9%91%D8%A9.wav
495,بصراحة,bɪ.sˤɑˈrɑː.ħɑ,4,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بصراحة.wav,3,LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%B5%D8%B1%D8%A7%D8%AD%D8%A9.wav
