ipa	syllable	probability	predicted	gold	correct	features
ʔaˈxiːr	1	[0.06, 0.94]	1	0.0	False	none
	2	[0.78, 0.22]	0	1.0	False	none
ʔʊsˈbuːʕ	1	[0.31, 0.69]	1	0.0	False	none
	2	[0.42, 0.58]	1	1.0	True	none
ˈʔawwal‿ɪmˈbæːrɪħ	1	[0.0, 1.0]	1	0.0	False	none
	2	[0.73, 0.27]	0	1.0	False	none
ɪħˈtaʒ	1	[0.05, 0.95]	1	0.0	False	none
	2	[0.9, 0.1]	0	1.0	False	none
ɪlˈjoːm	1	[0.8, 0.2]	0	0.0	True	none
	2	[0.83, 0.17]	0	1.0	False	none
(ɪ)nˈħab	1	[0.78, 0.22]	0	0.0	True	none
	2	[0.44, 0.56]	1	1.0	True	none
ɪnˈzɑːrˤ	1	[0.98, 0.02]	0	0.0	True	none
	2	[0.1, 0.9]	1	1.0	True	none
ɪnˈʃæːf	1	[0.26, 0.74]	1	0.0	False	none
	2	[0.94, 0.06]	0	1.0	False	none
bajˈjæːʕ	1	[0.47, 0.53]	1	0.0	False	none
	2	[0.97, 0.03]	0	1.0	False	none
tɪlˈmiːz	1	[0.55, 0.45]	0	0.0	True	none
	2	[0.92, 0.08]	0	1.0	False	none
ʒʊrˈbæːn	1	[0.0, 1.0]	1	0.0	False	none
	2	[0.99, 0.01]	0	1.0	False	none
ʒɪˈniːn	1	[0.35, 0.65]	1	0.0	False	none
	2	[0.46, 0.54]	1	1.0	True	none
ʒɪˈhæːz	1	[0.41, 0.59]	1	0.0	False	none
	2	[0.83, 0.17]	0	1.0	False	none
xaˈruːf	1	[0.55, 0.45]	0	0.0	True	none
	2	[0.8, 0.2]	0	1.0	False	none
xɑˈtˤiːb	1	[0.94, 0.06]	0	0.0	True	none
	2	[0.05, 0.95]	1	1.0	True	none
xɪˈjɑːrˤ	1	[0.2, 0.8]	1	0.0	False	none
	2	[0.75, 0.25]	0	1.0	False	none
dubˈbæːn	1	[0.0, 1.0]	1	0.0	False	none
	2	[1.0, 0.0]	0	1.0	False	none
zaˈmiːl	1	[0.0, 1.0]	1	0.0	False	none
	2	[0.98, 0.02]	0	1.0	False	none
sɪtˈjæːn	1	[0.96, 0.04]	0	0.0	True	none
	2	[0.09, 0.91]	1	1.0	True	none
sɪtˈtiːn	1	[0.7, 0.3]	0	0.0	True	none
	2	[0.27, 0.73]	1	1.0	True	none
tˤɑbˈbɑːx	1	[0.17, 0.83]	1	0.0	False	none
	2	[0.75, 0.25]	0	1.0	False	none
ʕarˈnuːs	1	[0.03, 0.97]	1	0.0	False	none
	2	[0.96, 0.04]	0	1.0	False	none
ʕaˈʃæːn	1	[0.83, 0.17]	0	0.0	True	none
	2	[0.46, 0.54]	1	1.0	True	none
ɣajˈrɑːn	1	[0.0, 1.0]	1	0.0	False	none
	2	[0.77, 0.23]	0	1.0	False	none
(ɪ)ʔˈbæːl	1	[0.51, 0.49]	0	0.0	True	none
	2	[0.33, 0.67]	1	1.0	True	none
qɑˈrˤɑːrˤ	1	[1.0, 0.0]	0	0.0	True	none
	2	[0.0, 1.0]	1	1.0	True	none
ʔuwˈwɑːrˤ	1	[0.01, 0.99]	1	0.0	False	none
	2	[0.85, 0.15]	0	1.0	False	none
kasˈlæːn	1	[0.66, 0.34]	0	0.0	True	none
	2	[0.02, 0.98]	1	1.0	True	none
laˈħad	1	[0.99, 0.01]	0	0.0	True	none
	2	[0.16, 0.84]	1	1.0	True	none
muˈdiːr	1	[0.02, 0.98]	1	0.0	False	none
	2	[0.67, 0.33]	0	1.0	False	none
maʃˈrˤuːb	1	[0.0, 1.0]	1	0.0	False	none
	2	[1.0, 0.0]	0	1.0	False	none
mʊsˤˈrˤɑːn	1	[0.02, 0.98]	1	0.0	False	none
	2	[0.48, 0.52]	1	1.0	True	none
maˈtˤɑːrˤ	1	[0.0, 1.0]	1	0.0	False	none
	2	[0.99, 0.01]	0	1.0	False	none
maʕˈleːʃ	1	[0.01, 0.99]	1	0.0	False	none
	2	[1.0, 0.0]	0	1.0	False	none
nɑsˤˈħɑːn	1	[0.0, 1.0]	1	0.0	False	none
	2	[0.38, 0.62]	1	1.0	True	none
haˈdiːk	1	[0.66, 0.34]	0	0.0	True	none
	2	[0.9, 0.1]	0	1.0	False	none
waˈziːr	1	[0.46, 0.54]	1	0.0	False	none
	2	[0.01, 0.99]	1	1.0	True	none
ˈʔæːx.re	1	[0.82, 0.18]	0	1.0	False	none
	2	[0.93, 0.07]	0	0.0	True	none
ˈʔæː.sɪf	1	[0.68, 0.32]	0	1.0	False	none
	2	[0.93, 0.07]	0	0.0	True	none
ˈʔas.bat	1	[0.2, 0.8]	1	1.0	True	none
	2	[0.03, 0.97]	1	0.0	False	none
ˈʔɑrˤ.dˤɑ	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈʔa.sad	1	[0.14, 0.86]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈʔaɣ.ra	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.97, 0.03]	0	0.0	True	none
ˈʔɑf.dˤɑl	1	[0.04, 0.96]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈʔa.mal	1	[0.43, 0.57]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈʔa.na	1	[0.03, 0.97]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈʔi.ʒ(ɪ)r	1	[0.85, 0.15]	0	1.0	False	none
	2	[0.41, 0.59]	1	0.0	False	none
ˈʔɪ.z(ɪ)n	1	[0.03, 0.97]	1	1.0	True	none
	2	[0.78, 0.22]	0	0.0	True	none
ʔi.b(ɪ)n	1	[0.19, 0.81]	1	1.0	True	none
	2	[0.87, 0.13]	0	0.0	True	none
ˈʔeːm.ta	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.95, 0.05]	0	0.0	True	none
ˈbæː.rɪd	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈbɪħt.fɪl	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈba.ħas	1	[0.12, 0.88]	1	1.0	True	none
	2	[0.95, 0.05]	0	0.0	True	none
ˈbɪxt.fi	1	[0.03, 0.97]	1	1.0	True	none
	2	[0.33, 0.67]	1	0.0	False	none
ˈbad.daʕ	1	[0.13, 0.87]	1	1.0	True	none
	2	[0.78, 0.22]	0	0.0	True	none
ˈba.dal	1	[0.04, 0.96]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈbroː.va	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈbɪqt.rɪħ	1	[0.01, 0.99]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈbɑ.ʔɑrˤ	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.91, 0.09]	0	0.0	True	none
ˈba.ka	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈbɪnt.xɪb	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈta.na	1	[0.04, 0.96]	1	1.0	True	none
	2	[0.31, 0.69]	1	0.0	False	none
ˈteː.ta	1	[0.02, 0.98]	1	1.0	True	none
	2	[0.96, 0.04]	0	0.0	True	none
ˈʒa.bal	1	[0.03, 0.97]	1	1.0	True	none
	2	[0.87, 0.13]	0	0.0	True	none
ˈʒad.wal	1	[0.07, 0.93]	1	1.0	True	none
	2	[0.84, 0.16]	0	0.0	True	none
ˈʒan.nan	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈʒeː.ne	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈħæː.wal	1	[0.14, 0.86]	1	1.0	True	none
	2	[0.55, 0.45]	0	0.0	True	none
ˈħas.san	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈħi.lɪm	1	[0.05, 0.95]	1	1.0	True	none
	2	[0.44, 0.56]	1	0.0	False	none
ˈħʊ.l(ʊ)m	1	[0.05, 0.95]	1	1.0	True	none
	2	[0.78, 0.22]	0	0.0	True	none
ˈħʊm.rˤɑ	1	[0.06, 0.94]	1	1.0	True	none
	2	[0.84, 0.16]	0	0.0	True	none
ˈxɑː.tˤɪb	1	[0.07, 0.93]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈxæː.laf	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈxa.ʃab	1	[0.82, 0.18]	0	1.0	False	none
	2	[0.87, 0.13]	0	0.0	True	none
ˈdæː.jɪx	1	[0.02, 0.98]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈda.xal	1	[0.08, 0.92]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈda.fa	1	[0.33, 0.67]	1	1.0	True	none
	2	[0.73, 0.27]	0	0.0	True	none
ˈdaw.wab	1	[0.01, 0.99]	1	1.0	True	none
	2	[0.89, 0.11]	0	0.0	True	none
ˈda.hab	1	[0.05, 0.95]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈrˤɑ.ʔi	1	[0.01, 0.99]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈrak.kaz	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈzaʔ.ʔaf	1	[0.01, 0.99]	1	1.0	True	none
	2	[0.93, 0.07]	0	0.0	True	none
ˈzeː.baʔ	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈsæː.kɪn	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈsʊr.ʕa	1	[0.77, 0.23]	0	1.0	False	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈsɪl.fe	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈsaw.wa	1	[0.01, 0.99]	1	1.0	True	none
	2	[0.96, 0.04]	0	0.0	True	none
ˈʃɑː.tˤɪr	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈʃal.faʔ	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈʃa.h(ɪ)r	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.99, 0.01]	0	0.0	True	none
ˈsˤɑ.ħ(ɪ)n	1	[0.03, 0.97]	1	1.0	True	none
	2	[0.93, 0.07]	0	0.0	True	none
ˈdˤɑ.ɣɑtˤ	1	[0.44, 0.56]	1	1.0	True	none
	2	[0.92, 0.08]	0	0.0	True	none
ˈʕɑːsˤ.fe	1	[0.08, 0.92]	1	1.0	True	none
	2	[0.98, 0.02]	0	0.0	True	none
ˈʕæː.laʒ	1	[0.0, 1.0]	1	1.0	True	none
	2	[1.0, 0.0]	0	0.0	True	none
ˈʕab.bar	1	[0.44, 0.56]	1	1.0	True	none
	2	[0.58, 0.42]	0	0.0	True	none
ˈʕɪd.de	1	[0.0, 1.0]	1	1.0	True	none
	2	[0.97, 0.03]	0	0.0	True	none
ˈʕad.wa	1	[0.0, 1.0]	1	1.0	True	none
